Date,SPY,QQQ,IWM,EFA
2018-01-01,251.24466941752016,152.73873257875212,120.22907213512282,70.33181776917675
2018-01-02,250.98510268471185,152.5975705170773,120.7522966778144,70.40370364048117
2018-01-03,252.59476478916636,152.68227700939397,120.78791035929956,70.44300252531112
2018-01-04,256.3261305833562,154.0996182031654,117.9889834944748,68.78320873200137
2018-01-05,255.82941055147185,154.6021390553604,118.22913141040932,69.31472547067285
2018-01-08,255.3336926962545,156.51953481502034,121.25863807699383,69.42152266783403
2018-01-09,259.2431085365573,157.13663446165407,120.79039848977585,69.73494310829798
2018-01-10,261.2011129965541,155.97834519042794,119.82288251457068,69.2496412593613
2018-01-11,260.1159153599575,156.74012221621157,120.35690539846563,68.99474243915942
2018-01-12,261.52421718502757,154.54680970802477,120.8097589506811,68.72237686737408
2018-01-15,260.4525825368531,154.80746909459702,122.48087628806107,69.44667265948718
2018-01-16,259.37967236312784,154.79180364809727,120.7721259813498,69.19502171134748
2018-01-17,260.0443129131696,154.43548651413892,121.80386392599517,70.67609974114909
2018-01-18,255.45494900172244,154.23454850641028,122.6482285247503,70.99698778487183
2018-01-19,251.39362685588446,150.66862319728298,122.47684957931159,70.10310448050852
2018-01-22,250.12971541007067,149.6781097383501,122.97435950978206,70.02545061955682
2018-01-23,247.81490281537995,149.9008760502162,124.44480908186073,69.5800431583846
2018-01-24,248.61966614528197,150.2507719048212,125.7086510000015,68.07076291604814
2018-01-25,246.5628868376068,148.36503376202234,124.11639654424461,69.1899934303492
2018-01-26,243.36074305375874,150.79775401146665,125.30277630209324,69.69513811075808
2018-01-29,246.82183939998487,149.2084385210837,125.23763482308952,70.08382930351516
2018-01-30,246.36303751985307,151.09000481247477,125.3679254773018,70.2139143008942
2018-01-31,246.58755160805214,151.9536166992048,125.4988111622916,69.25562537393745
2018-02-01,243.35646969309778,150.7693344558227,125.31194422984582,68.93177681084585
2018-02-02,242.17393462440447,154.22851368139436,127.04385824635426,69.53212860956071
2018-02-05,242.49404261021147,151.9747528598588,126.95041624945628,68.81219124031269
2018-02-06,239.93644936303028,153.79370429274448,125.37579900483918,67.09103261499126
2018-02-07,240.85544108671658,155.79417334814678,124.84424272252951,66.95017467238281
2018-02-08,239.55768392636185,154.53246045652415,125.12416969435846,66.86710892516132
2018-02-09,238.96349744652508,157.3173414471429,126.90744984408995,66.97107791393132
2018-02-12,237.6735359426861,156.8723188515459,127.80555692558897,67.47727891809336
2018-02-13,241.93600171775077,157.4939235552249,126.605930237369,67.92503677428837
2018-02-14,241.9711528965829,158.06148203237385,130.2521579055582,68.1151838807018
2018-02-15,239.6302007319384,157.84434881035037,130.671692030413,68.95383882134209
2018-02-16,241.5658341393956,159.51565976096666,132.60344708205332,67.91893104072216
2018-02-19,238.8603258351222,161.1694951698225,132.4037922670677,68.27801401570453
2018-02-20,239.3975031110381,157.70790260822372,133.23540192786618,68.72341881275221
2018-02-21,235.0694585123689,160.3718541419638,134.53840175848688,67.88286962351583
2018-02-22,232.20107005112243,157.09759511423047,136.43880443661558,66.87488623608881
2018-02-23,232.69687917736383,159.205139609401,138.11395657083767,66.38641324362662
